Date,E-waste(g)
2017-08-22,4609197.9720067745
2017-08-23,5726119.521110643
2017-08-24,6038244.852530796
2017-08-25,4493377.732774955
2017-08-26,4345357.991177219
2017-08-27,5912391.2535163555
2017-08-28,6550842.083505411
2017-08-29,5806089.746283693
2017-08-30,7135942.5626658145
2017-08-31,7061468.806899764
2017-09-01,6434372.195198243
2017-09-02,6526158.192190583
2017-09-03,5778106.109151891
2017-09-04,6550106.767212489
2017-09-05,6609231.542185089
2017-09-06,7202179.5988491485
2017-09-07,6672091.414177896
2017-09-08,6713937.246821103
2017-09-09,6803037.805298335
2017-09-10,6224222.83004021
2017-09-11,5929723.879149784
2017-09-12,6914074.599988455
2017-09-13,7300621.609879259
2017-09-14,7375732.342542471
2017-09-15,7079015.29863511
2017-09-16,6505732.520044605
2017-09-17,6771827.430535494
2017-09-18,5299144.893116196
2017-09-19,5012989.172662547
2017-09-20,4700313.352213977
2017-09-21,5616188.175014948
2017-09-22,5969990.327128415
2017-09-23,5333837.846906437
2017-09-24,5782075.633824027
2017-09-25,6147139.626589863
2017-09-26,6182130.097405018
2017-09-27,6867569.759374249
2017-09-28,7401373.636128157
2017-09-29,7784150.220733442
2017-09-30,7886369.798333139
2017-10-01,5811344.6161878565
2017-10-02,6555788.549819114
2017-10-03,8392700.35621699
2017-10-04,7847760.526841022
2017-10-05,5795454.475594696
2017-10-06,6898466.614434698
2017-10-07,7214730.559531353
2017-10-08,8359153.586961202
2017-10-09,8063415.5183674535
2017-10-10,7886372.572706534
2017-10-11,6679988.216528392
2017-10-12,7434618.7056525145
2017-10-13,6248039.722549616
2017-10-14,7095791.193407988
2017-10-15,8471322.054759307
2017-10-16,9263557.423459765
2017-10-17,8539117.545081286
2017-10-18,7976814.146193809
2017-10-19,8032814.968848941
2017-10-20,9743092.803300722
2017-10-21,7927708.846675487
2017-10-22,8770587.555716425
2017-10-23,8663781.104428014
2017-10-24,8792345.28173702
2017-10-25,8631297.20820759
2017-10-26,10225930.10924877
2017-10-27,8058866.2406600155
2017-10-28,6308343.013279759
2017-10-29,7141954.69609907
2017-10-30,8896412.917871768
2017-10-31,9419265.950671831
2017-11-01,7655257.705406747
2017-11-02,9120502.058252487
2017-11-03,7833534.8640343845
2017-11-04,6765253.973595094
2017-11-05,8340444.618749119
2017-11-06,8354529.72454224
2017-11-07,7826099.031572828
2017-11-08,8856423.994465565
2017-11-09,8286837.887276151
2017-11-10,8020552.468379956
2017-11-11,5441384.648433379
2017-11-12,3870581.9191568517
2017-11-13,6328667.887063594
2017-11-14,7336875.57236379
2017-11-15,6405376.120755081
2017-11-16,7090462.48323398
2017-11-17,7792525.419682354
2017-11-18,6779754.15362149
2017-11-19,7349391.456495816
2017-11-20,7429036.507500777
2017-11-21,8369821.786622
2017-11-22,7897850.358317578
2017-11-23,6881793.170465854
2017-11-24,7414126.992543898
2017-11-25,7123958.242324754
2017-11-26,7104489.508004322
2017-11-27,7476012.038162905
2017-11-28,7549312.981976062
2017-11-29,7854717.381096511
2017-11-30,7849944.361669464
2017-12-01,7716468.693687001
2017-12-02,7978585.074258908
2017-12-03,7417620.999351992
2017-12-04,8226593.91530271
2017-12-05,8012695.956326808
2017-12-06,8955665.153294344
2017-12-07,8730776.051058894
2017-12-08,8198208.678657618
2017-12-09,8716767.667600019
2017-12-10,9223622.732730383
2017-12-11,8939526.964873934
2017-12-12,8805037.703906856
2017-12-13,8835574.07517772
2017-12-14,9986666.749015238
2017-12-15,9544467.896844408
2017-12-16,8835307.846329147
2017-12-17,9660995.521013629
2017-12-18,10280784.359038655
2017-12-19,10140734.087855965
2017-12-20,9065721.203276865
2017-12-21,8438667.388026247
2017-12-22,8755661.08368189
2017-12-23,9273847.320213538
2017-12-24,9171766.44848853
2017-12-25,9008056.23915719
2017-12-26,8566875.533335943
2017-12-27,9594052.887189247
2017-12-28,9564068.552862527
2017-12-29,9615359.024806306
2017-12-30,9617243.621723462
2017-12-31,10183166.59789936
2018-01-01,8566223.18330889
2018-01-02,9084151.19549011
2018-01-03,8476996.959651306
2018-01-04,9356780.496970376
2018-01-05,8552498.673669575
2018-01-06,8506778.136568503
2018-01-07,9014648.531887267
2018-01-08,8860181.20127951
2018-01-09,9042405.50184282
2018-01-10,9393669.222750532
2018-01-11,9610813.350083133
2018-01-12,10110572.854204
2018-01-13,10175347.482624728
2018-01-14,9538560.428258771
2018-01-15,9215601.137778861
2018-01-16,9691278.853147062
2018-01-17,11055486.039550489
2018-01-18,10613677.674189614
2018-01-19,9785742.078465503
2018-01-20,11796967.029644748
2018-01-21,11428619.95727136
2018-01-22,11169835.545721073
2018-01-23,11416791.080890095
2018-01-24,10641250.809868116
2018-01-25,12119888.785367884
