Date,HashRate
2019-05-04,3.19371439683E+14
2019-05-05,3.4323369469066E+14
2019-05-06,3.5584395562661E+14
2019-05-07,3.4464464887639E+14
2019-05-08,3.3119475956298E+14
2019-05-09,3.4901854390636E+14
2019-05-10,3.6090231546278E+14
2019-05-11,3.4104266936732E+14
2019-05-12,318630174556858
2019-05-13,3.4803159288622E+14
2019-05-14,3.4612954850897E+14
2019-05-15,3.4790709400141E+14
2019-05-16,371591874353776
2019-05-17,3.5715813449682E+14
2019-05-18,3.4536439884124E+14
2019-05-19,3.4402328619186E+14
2019-05-20,3.5311940119376E+14
2019-05-21,3.4802720087589E+14
2019-05-22,3.5302854521663E+14
2019-05-23,3.4318460577082E+14
2019-05-24,3.5379671328659E+14
2019-05-25,3.5314305170343E+14
2019-05-26,3.6851731965484E+14
2019-05-27,3.6088676208202E+14
2019-05-28,3.5878611303539E+14
2019-05-29,3.6700877986016E+14
2019-05-30,3.6754698073481E+14
2019-05-31,3.7325889420535E+14
2019-06-01,3.7063784109118E+14
2019-06-02,3.7398144611583E+14
2019-06-03,3.7057074972294E+14
2019-06-04,3.6044647495812E+14
2019-06-05,3.7992611093294E+14
2019-06-06,3.7393474127825E+14
2019-06-07,3.7987592887079E+14
2019-06-08,3.946996697193E+14
2019-06-09,3.987010156503E+14
2019-06-10,4.0775567000227E+14
2019-06-11,3.6685402642085E+14
2019-06-12,3.675376254596E+14
2019-06-13,3.8659126940478E+14
2019-06-14,3.943471800054E+14
2019-06-15,3.8800374395101E+14
2019-06-16,3.9431515202199E+14
2019-06-17,3.9713693051688E+14
2019-06-18,3.9788291363138E+14
2019-06-19,4.1309615943649E+14
2019-06-20,4.3826228150072E+14
2019-06-21,4.4513372410287E+14
2019-06-22,4.0455370274657E+14
2019-06-23,4.23665802023E+14
2019-06-24,4.4557385937037E+14
2019-06-25,4.461981267491E+14
2019-06-26,4.3568949436036E+14
2019-06-27,4.5796866983324E+14
2019-06-28,4.5534074640103E+14
2019-06-29,4.346294271051E+14
2019-06-30,4.1807714212746E+14
2019-07-01,436768825503554
2019-07-02,4.4535762123262E+14
2019-07-03,4.6810189966587E+14
2019-07-04,4.5507842130954E+14
2019-07-05,4.3904000430781E+14
2019-07-06,4.2843937135571E+14
2019-07-07,4.4970320252872E+14
2019-07-08,4.2714141943967E+14
2019-07-09,4.2062666862219E+14
2019-07-10,4.5358788204413E+14
2019-07-11,4.6063396958262E+14
2019-07-12,4.7419913159561E+14
2019-07-13,4.6960786902532E+14
2019-07-14,5.2381733887263E+14
2019-07-15,4.9767991753334E+14
2019-07-16,4.3528265212278E+14
2019-07-17,4.588977398367E+14
2019-07-18,4.6180270159433E+14
2019-07-19,4.7336901252520E+14
2019-07-20,4.4959596089988E+14
2019-07-21,4.2704617494377E+14
2019-07-22,4.4782630792284E+14
2019-07-23,4.3976337259547E+14
2019-07-24,4.5590012799203E+14
2019-07-25,4.3461193213497E+14
2019-07-26,4.1194714807464E+14
2019-07-27,4.3578057475543E+14
2019-07-28,4.7490011937173E+14
2019-07-29,465604367347487
2019-07-30,4.4970651620992E+14
2019-07-31,4.7594904637598E+14
2019-08-01,4.6058246291086E+14
2019-08-02,4.4896626029968E+14
2019-08-03,4.8069059876352E+14
2019-08-04,4.5350558286338E+14
2019-08-05,4.5833123753627E+14
2019-08-06,4.4401229070914E+14
2019-08-07,4.2066194333911E+14
2019-08-08,3.8129581321202E+14
2019-08-09,3.5984417499598E+14
2019-08-10,3.8917242599425E+14
2019-08-11,4.061807403439E+14
2019-08-12,3.8236986843914E+14
2019-08-13,381986605058462
2019-08-14,3.7319838879616E+14
2019-08-15,3.7799944398728E+14
2019-08-16,3.4816240719269E+14
2019-08-17,3.4189590568574E+14
2019-08-18,3.1886521290735E+14
2019-08-19,3.2755135353103E+14
2019-08-20,3.291486682604E+14
2019-08-21,3.189966021347E+14
2019-08-22,3.3233737163458E+14
2019-08-23,3.0971008221528E+14
2019-08-24,332585913311515
2019-08-25,3.3366468497135E+14
2019-08-26,3.2178260890267E+14
2019-08-27,3.1717869390098E+14
2019-08-28,3.3147370931865E+14
2019-08-29,3.2035371739614E+14
2019-08-30,3.1798412296272E+14
2019-08-31,316170849099689
2019-09-01,3.253689957134E+14
2019-09-02,3.0519677168511E+14
2019-09-03,3.140418674352E+14
2019-09-04,3.1003343797967E+14
2019-09-05,2.955569587001E+14
2019-09-06,3.0705710915419E+14
2019-09-07,3.1876916070179E+14
2019-09-08,2.9570517722689E+14
2019-09-09,3.1943893506898E+14
2019-09-10,3.2047041069675E+14
2019-09-11,3.0090671369653E+14
2019-09-12,3.218359460032E+14
2019-09-13,3.2148154858751E+14
2019-09-14,3.1895160389758E+14
2019-09-15,3.1824373127517E+14
2019-09-16,3.041470487872E+14
2019-09-17,3.1189611807418E+14
2019-09-18,3.184280500741E+14
2019-09-19,3.1314881718239E+14
2019-09-20,3.307681561909E+14
2019-09-21,3.2646494043174E+14
2019-09-22,3.2346519428811E+14
2019-09-23,3.1677132040717E+14
2019-09-24,3.0923126892234E+14
2019-09-25,3.157749206985E+14
2019-09-26,3.151898438186E+14
2019-09-27,3.0353084691207E+14
2019-09-28,2.8338136881753E+14
2019-09-29,3.0584334467419E+14
2019-09-30,300248374484545
2019-10-01,2.9131387879065E+14
2019-10-02,2.8350545103286E+14
2019-10-03,2.8095310365935E+14
2019-10-04,2.5571419310147E+14
2019-10-05,2.7977891329993E+14
2019-10-06,2.8368707009691E+14
2019-10-07,2.8026118057193E+14
2019-10-08,2.8084746436512E+14
2019-10-09,2.8577588776254E+14
2019-10-10,2.9072827895257E+14
2019-10-11,2.8670604700787E+14
2019-10-12,2.6699998314296E+14
2019-10-13,2.7157478903545E+14
2019-10-14,2.6766446047308E+14
2019-10-15,2.6514896269565E+14
2019-10-16,2.5251676673541E+14
2019-10-17,2.5455355887459E+14
2019-10-18,2.5057634698548E+14
2019-10-19,2.2833443340083E+14
2019-10-20,2.4197471090238E+14
2019-10-21,2.3145581480504E+14
2019-10-22,2.2435669615143E+14
2019-10-23,2.3281808162185E+14
2019-10-24,2.2007553646747E+14
2019-10-25,2.1265007051367E+14
2019-10-26,2.0133705264958E+14
2019-10-27,1.9353912907773E+14
2019-10-28,2.0280658804519E+14
2019-10-29,1.9084935573493E+14
2019-10-30,1.8519816504375E+14
2019-10-31,2.0136573835734E+14
2019-11-01,1.8156975607408E+14
2019-11-02,1.7888938803123E+14
2019-11-03,1.8120928455289E+14
2019-11-04,1.7842272011647E+14
2019-11-05,1.8171501208395E+14
2019-11-06,1.9023155707422E+14
2019-11-07,1.8662333327916E+14
2019-11-08,1.8799382766013E+14
2019-11-09,1.8841156469124E+14
2019-11-10,1.7585698434685E+14
2019-11-11,1.8137150247233E+14
2019-11-12,1.9038212230599E+14
2019-11-13,1.8034653591502E+14
2019-11-14,1.8430460082327E+14
2019-11-15,1.8023066816857E+14
2019-11-16,1.68533532213E+14
2019-11-17,171646771748331
2019-11-18,1.8587556012844E+14
2019-11-19,1.829452708078E+14
2019-11-20,1.7541843872198E+14
2019-11-21,1.7417411585589E+14
2019-11-22,1.7889659229511E+14
2019-11-23,1.7261829994936E+14
2019-11-24,1.7569541713514E+14
2019-11-25,1.6782873206778E+14
2019-11-26,1.6449352932584E+14
2019-11-27,1.6803784398981E+14
2019-11-28,1.4964802494821E+14
2019-11-29,1.5123763346970E+14
2019-11-30,1.563913283212E+14
2019-12-01,1.5910154327655E+14
2019-12-02,1.6380492649133E+14
2019-12-03,1.6022884774727E+14
2019-12-04,1.5791258778255E+14
2019-12-05,1.570994242094E+14
2019-12-06,1.5471999329889E+14
2019-12-07,1.6597606611804E+14
2019-12-08,1.6670114479337E+14
2019-12-09,1.5241566610565E+14
2019-12-10,1.5138792056159E+14
2019-12-11,1.5576683449115E+14
2019-12-12,1.3355539350405E+14
2019-12-13,1.3017027189797E+14
2019-12-14,1.3882120373504E+14
2019-12-15,1.4644896436236E+14
2019-12-16,1.3548195418405E+14
2019-12-17,1.3826104215285E+14
2019-12-18,1.3392697788302E+14
2019-12-19,1.3713905710682E+14
2019-12-20,1.3774756915698E+14
2019-12-21,1.3554413915998E+14
2019-12-22,1.4752917355474E+14
2019-12-23,1.5493032856519E+14
2019-12-24,1.4808514510324E+14
2019-12-25,1.4137480375081E+14
2019-12-26,1.4374565496907E+14
2019-12-27,1.4711228989498E+14
2019-12-28,1.4302380471735E+14
2019-12-29,1.5301359542609E+14
2019-12-30,1.5378002048058E+14
2019-12-31,1.3888767866102E+14
2020-01-01,1.4655504464256E+14
2020-01-02,1.5111203191956E+14
2020-01-03,1.4295595686308E+14
2020-01-04,1.4404251806596E+14
2020-01-05,1.5170637498466E+14
2020-01-06,1.5356743647875E+14
2020-01-07,1.6250439801317E+14
2020-01-08,1.6472957977987E+14
2020-01-09,1.6390201884525E+14
2020-01-10,1.5723320613533E+14
2020-01-11,1.5994030484543E+14
2020-01-12,1.7107387454084E+14
2020-01-13,165713809516897
2020-01-14,1.5970778349025E+14
2020-01-15,1.5813293929248E+14
2020-01-16,1.6201550856517E+14
2020-01-17,1.5193637532324E+14
2020-01-18,1.6075127710958E+14
2020-01-19,1.6521720825476E+14
2020-01-20,1.6808911955249E+14
2020-01-21,1.4497237285339E+14
2020-01-22,1.432702756912E+14
2020-01-23,1.4319145458447E+14
2020-01-24,1.4246651974443E+14
2020-01-25,1.5223617725249E+14
2020-01-26,1.6227852035346E+14
2020-01-27,1.5868422343094E+14
2020-01-28,1.4923591492018E+14
2020-01-29,1.5521672782726E+14
2020-01-30,1.4885593212921E+14
2020-01-31,1.4583879544566E+14
2020-02-01,1.5744779267164E+14
2020-02-02,1.5620976577347E+14
2020-02-03,1.5937546600695E+14
2020-02-04,1.7084872230363E+14
2020-02-05,1.6738742375802E+14
2020-02-06,1.8667044504347E+14
2020-02-07,1.7359195092599E+14
2020-02-08,1.7535592828222E+14
2020-02-09,1.8462843953366E+14
2020-02-10,1.6925677089736E+14
